sender,subject,body,label
hello@friend.com,Lunch?,Hey want to grab lunch today?,0
support@paypal-secure-update.com,Urgent: Update your account,Click here to update your account immediately or it will be suspended.,1
newsletter@medium.com,Top stories,Here are your top stories for today.,0
admin@netflix-billing.com,Payment failed,Your payment failed. Please update credit card details immediately or lose access.,1
hr@company.com,Team meeting tomorrow,Please join us for the quarterly review meeting at 10am in conference room B.,0
security@bankofamerica-verify.net,Verify your identity NOW,Your account has been locked. Click here to verify your identity and restore access.,1
updates@github.com,New pull request,Someone opened a pull request in your repository. Review it at your convenience.,0
noreply@amazon-order-confirm.xyz,Order confirmation,Your order has been confirmed. Click to track your shipment now and provide payment.,1
friend@gmail.com,Photos from the trip,Hey! Attached are the photos from our hiking trip last weekend. Check them out!,0
billing@microsoft-renewal.info,Subscription expiring,Your Microsoft 365 subscription is expiring. Renew now to avoid disruption.,1
boss@work.com,Project update,The client approved our proposal. Great work team. Well done everyone.,0
lottery@winner-prize.com,You have won $1000000,Congratulations! You have been selected as a winner. Claim your prize immediately.,1
alerts@mybank.com,Your statement is ready,Your monthly account statement is now available to view online.,0
admin@apple-id-locked.com,Apple ID suspended,Your Apple ID has been disabled due to suspicious activity. Verify immediately.,1
info@linkedin.com,New connection request,You have a new connection request on LinkedIn from a colleague.,0
support@irs-refund-alert.com,Tax refund pending,You are eligible for a tax refund of $850. Click here to claim it before it expires.,1
notifications@slack.com,New message in channel,You have unread messages in your Slack workspace from teammates.,0
verify@paypal-security-check.net,Unusual login detected,We detected an unusual sign-in to your PayPal account. Verify now or your account will be locked.,1
team@startup.io,Sprint planning,Our sprint planning session is scheduled for Monday at 9am. Please prepare your updates.,0
admin@fedex-delivery-notification.com,Package held at customs,Your package is being held. Pay the customs fee immediately to release it or it will be returned.,1
noreply@twitter.com,Someone liked your tweet,Your tweet received a like from a new follower.,0
support@chase-secure-login.info,Password reset required,Your Chase account password must be reset immediately due to a security breach. Act now.,1
newsletter@techcrunch.com,Daily tech digest,Here are today's top technology headlines from TechCrunch.,0
alert@wellsfargo-update.io,Card blocked,Your Wells Fargo debit card has been temporarily blocked. Click here to unblock it now.,1
calendar@google.com,Meeting reminder,You have a meeting in 30 minutes. Join Google Meet using the link below.,0
win@freegift-claim.net,Free gift for you,You have been selected to receive a free gift. No purchase necessary. Claim now immediately.,1
docs@office365.com,Shared document,Your colleague has shared a document with you in Office 365 for your review.,0
service@dhl-package-tracking.xyz,Delivery failed,We attempted to deliver your package but nobody was home. Pay fee to schedule redelivery now.,1
invoices@quickbooks.com,Invoice ready,Your invoice for this month has been generated and is ready to download.,0
